Row Number,Text,Semantic,Associated Words
75,Not bad for $34+ tax.,Positive,
76,"PS One pic is from neighboring table's plate- the guy said ""Please do take a picture.",Neutral,
77,What a find!,Neutral,
78,"I can't believe this place"".",Neutral,
79,A bounty of food comes with your half chicken and fries!,Neutral,
80,"The ""golden row"" of chicken twisting and turning while cooking definitely generates much anticipation.",Neutral,
81,"I'll say half of the 1/2 chicken I ordered was definitely moist and tender, while the other side was a bit dried out.",Positive,"moist, tender"
82,"The fat from the skin was nonexistent, so not much flavor other than the sauce that coated the exterior of the chicken.",Neutral,
83,"While there was an abundance of fries, which covered every inch of the paper box, sadly they were neither crunchy nor crisp.",Negative,
84,This was right after opening my box after I paid for my order.,Neutral,
85,I also got the chicken sandwich which was juicer even if it was less majestic than the 1/2 chicken.,Neutral,
86,"The flan dessert was somewhat forgettable, I left half of it behind.",Negative,forgettable
87,There was a line up to order but it moved well.,Positive,moved well
88,There is seating inside however the tables and chairs were in need of a good wipe down.,Positive,good
89,The BEST POUTINE & BBQ chicken i ever had!,Positive,BEST
90,It was the best food we had from Montreal.,Positive,best
91,I've been to La Banquise for poutine multiple times and LB's good but this chicken and chorizo poutine is superior!,Positive,good
92,"Perfect potato fries, bbq chicken, cheese curds and gravy!",Positive,Perfect
93,Dont forget to ask for their spicy sauce on top!,Neutral,
94,"(Not spicy at all, just gives extra umami!) This place also gets long queue but much less than LB and it moves pretty fast!",Neutral,
95,Their service is fast and efficient.,Neutral,
96,"While u are waiting, u can see how they cook their chicken on the Portuguese grill.",Neutral,
97,I want to try bbq chicken with their hot sauce next time when I visit Mtl again.,Neutral,
98,PS.,Neutral,
99,Get large!!,Neutral,
100,And pastel de nata is just ordinary.,Neutral,
101,They have a tiny dining room.,Neutral,
102,Their reputation brings many people coming.,Neutral,
103,Locals and tourists line up around the block.,Neutral,
104,Their chicken is delicious.,Positive,delicious
105,Their poutine is huge.,Positive,huge
106,We ordered it loaded but I would order it without the chorizo.,Neutral,
107,It's a little much.,Neutral,
108,I found myself at Ma Poule Mouillée as part of a food tour I was on.,Neutral,
109,"We were not told in advance which places we were visiting, so it was a pleasant surprise to find out that this was on the route.",Positive,pleasant
110,"While I didn't know too much about this spot, I was aware of its popularity and that they served good poutine; needless to say, I was looking forward to checking it out.",Positive,good
111,Ma Poule Mouillée is a Portuguese restatuant that specializes in chicken and poutine.,Neutral,
112,"We were there late morning so it was not crowded, though I was told it's normal for a line for form around the block during peak times.",Positive,
113,"Our tour guide also mentioned that this place, along with La Banquise which sits catty corner, are two of the most popular places for poutine in the city.",Neutral,
114,"We were here for poutine - specifically, we got the variety topped with chorizo and roasted chicken.",Neutral,
115,"It was delicious - the fries were crispy, and the combo for the chorizo and chicken with the gravy and cheese curds really made for an elevated poutine.",Positive,"delicious, crispy"
116,"We didn't have time for anything else, but what we had was enough to make an impression.",Neutral,
117,"Overall, Ma Poule Mouillée was a total yes - this was one of the best poutines I've had in a while and I would definitely return the next time I'm in Montreal.",Positive,best
118,Want a Thanksgiving feast?,Neutral,
119,I would say order the number 8.,Neutral,
120,"We had Portuguese meat, rotisserie chicken all in gravy on top of fries.",Neutral,
121,I would say it reminded me of a heavy Thanksgiving meal.,Neutral,
122,It was good.,Positive,good
123,Don't get me wrong.,Neutral,
124,"The line was a bit long outside but once you get in, you order, wait for you food, pay, and then find a table to eat.",Neutral,
125,It's small inside but you can grab a seat if you're patient.,Neutral,
126,They also have a spicy sauce you can add to your meal that was pretty good.,Positive,good
127,It's definitely worth a try but I think there are so many different poutine places I would try around Montreal.,Neutral,
128,Their gravy is delicious.,Positive,delicious
129,"Chicken is falling off the bone, it's cooked so well.",Neutral,
130,"The portions are huge - my wife couldn't finish her ""small"" poutine, and I couldn't finish my portion of chicken legs with salad and fries.",Positive,huge
131,"There is limited seating and no one seats you, so you have to watch for tables to free up and grab one while being in line for the food so having company helps!",Negative,limited seating
132,I had so many recommendations to try this poutine in Montreal and it did not disappoint.,Positive,did not disappoint
133,"The location is actually a Portuguese chicken restaurant but they do a poutine that has 2 full legs of chicken and sausage on top of your usual squeaky cheese curds, crispy fries and piping hot gravy.",Positive,crispy
134,The portion was massive.,Neutral,
135,We ordered the large poutine and it only cost $19.00.,Neutral,
136,"I think what makes this dish is the chicken, which is cooked to perfection with crispiest skin.",Neutral,
137,The service was quick and you could see the chicken being roasted on the spits.,Neutral,
138,The restaurant itself is set up as take out.,Neutral,
139,You order and then find a spot to sit.,Neutral,
140,Pretty spacious and lots of seating available.,Neutral,
141,We went on a Monday morning (10am) during the winter so there was no line up.,Neutral,
142,But I have heard that it can get very busy.,Neutral,
143,We also got the eggs tarts which were delicious.,Positive,delicious
144,Great recommendation.,Positive,Great
145,This place was super busy and had a line but did move quickly.,Neutral,
146,It was super packed when we went and therefore had to take our food to go and eat at our hotel.,Neutral,
147,"The place is definitely smaller inside but nice, clean, cozy and friendly staff.",Positive,"nice, clean, cozy, friendly"
148,The food was amazing!!!,Positive,amazing
149,We probably could have ordered a small poutine since we also had fries with the half chicken but no regrets!,Positive,no regrets
150,Best poutine we had for sure during our trip.,Positive,Best
151,Highly recommend!,Positive,Highly recommend
152,Some of the best roasted chicken I have ever had.,Positive,best
153,"I would come just for the chicken, no poutine needed.",Neutral,
154,The line was put the door for good reason.,Positive,good
155,I ordered the chicken sandwich and they pulled it right off the grill and put it on amazing Portuguese bread.,Positive,amazing
156,Get the food to go and have the best Portuguese chicken and/or poutine in Montreal.,Positive,best
157,Everyone was friendly and the whole place smells delicious!,Positive,"friendly, delicious"
158,Their grilled calamari and Portuguese chicken were AMAZING!,Positive,AMAZING
159,The chicken still tasted delicious even when it was cold.,Neutral,
160,They truly worked some magic with their sauce.,Neutral,
161,"I didn't try their famous poutine, and now I really regret it.",Neutral,
162,I'll definitely be coming back when I get the chance!,Neutral,
163,Hands down the best poutine fusion in Montreal.,Positive,best
164,The Portugese chicken compliments the poutine very well and definitely a dark horse in Montreal.,Neutral,
165,"They don't seem to get as much attention as some other poutine places, but don't sleep on this experience.",Neutral,
166,"For their price, it is a lot of food, one large serving of their 19$ grilled chicken with sausage and poutine is a great meal that will last you the entire day, it was more than enough for two.",Positive,great
167,They debone two legs of chicken on top of the poutine that they pulled fresh off their grill!,Positive,fresh
168,"Service was fast, there is plenty of room to eat at the restaurant and they have a separate counter for the pastries.",Neutral,
169,We had to get some of their Portuguese tarts (10$ for 6) and they were also amazing.,Positive,amazing
170,"Creamy, custardy, perfectly baked.",Positive,perfectly
171,It reheated well in the air fryer when we brought some back as souvenirs to enjoy.,Neutral,
172,"This is a place worth stopping by in Montreal, poutine in one hand and a batch of tarts for dessert on the other.",Neutral,
173,A Portuguese restaurant that is serving up the best poutine I've ever had.,Positive,best
174,"It is piled HIGH with chorizo, chicken, gravy and curd.",Neutral,
175,"The flavors are so warm, it is the perfect thing for a chilly day.",Positive,perfect
176,This poutine could easily serve 3 people so keep that in mind when ordering it.,Neutral,
177,Try your best to save room for dessert so you can try their pastel de nata,Positive,best
178,"I was probably the most excited to try this place during my trip, and it really didn't disappoint!",Positive,didn't disappoint
179,"We came on a Friday around lunch, and I was happy to see that there was no line.",Positive,happy
180,It's pretty small inside with only a handful of tables and high chairs.,Neutral,
181,"We got the small poutine to share, and man, this bowl was hefty!",Neutral,
182,It was a perfect amount of food for two people.,Positive,perfect
183,The chicken was so moist and flavorful.,Positive,"moist, flavorful"
184,They definitely don't skimp on the gravy - every inch is drenched.,Neutral,
185,The chorizo wasn't quite what I was expecting.,Neutral,
186,"It wasn't my favorite, but everything comes together so well that I didn't mind.",Negative,
187,"I wish I had room to try the pasteis de nata, but I guess I'll just have to come back.",Neutral,
188,This is such a unique take on poutine!,Neutral,
189,It's a must-try for anyone visiting Montreal.,Neutral,
190,The Portuguese chicken poutine here is literally top tier.,Neutral,
191,"The mix of the chicken, chorizo, and sauce is elite, and the portions are huge.",Positive,huge
192,"Honestly, the only reason it's not a 5-star is because the line is always insane and it gets super crowded inside, but the food low-key makes up for it.",Negative,super crowded
193,Def a must-try in Montreal!,Neutral,
194,I was very surprised by this one.,Neutral,
195,It is better than the guy across the street!,Neutral,
196,The gravy has a more deep flavor and the service (petite) is enough for two people that aren't extremely hungry Yum!,Neutral,
197,This is the place in Montreal for poutine,Neutral,
198,Holy s&$t this was amazing poutine!,Positive,amazing
199,Worth the hype and worth the wait.,Positive,worth the wait
200,Line seemed long but didn't take too long.,Neutral,
201,It smelled so grilled and delicious in there.,Positive,delicious
202,This was also recommend by a few locals to try as well so I would highly suggest eating here when you're in Montreal!,Positive,recommend
203,"The Portuguese chicken was the one thing my partner absolutely wanted to try while we were in Montreal, so we ended up waiting for them to open while sitting on a bench on a cold March morning.",Negative,cold
204,They noticed us peeking in and invited us to come in early which was so kind of them!,Neutral,
205,"We got the first chicken of the morning and booked it to the train station to enjoy it, and it did not disappoint.",Positive,did not disappoint
206,Incredibly flavorful and moist.,Positive,"flavorful, moist"
207,Next time we're in Montreal we will definitely be stopping by again to try some more of the menu!,Neutral,
208,Great chicken--so soft and moist.,Positive,"Great, moist"
209,Gravy for the poutine was a little too sweet for my liking.,Negative,too sweet
210,I would love to eat more of that chicken tho,Positive,love
211,Don't let the lines deter you!,Neutral,
212,We arrived a little after noon on a Friday and made it to the front of the line within 20-25 minutes.,Neutral,
213,"We were handsomely rewarded with the most tender, juicy, flavorful chicken paired with crispy, house-made french fries and a salad (for health).",Positive,"tender, juicy, flavorful, crispy"
214,"Seating was a bit of an issue, but I would've gladly eaten this meal on the curb.",Neutral,
215,It was THAT good!,Positive,good
216,This place is so tasty!,Positive,tasty
217,Service was streamlined and fast.,Neutral,
218,So much food for the price.,Neutral,
219,The spicy chicken wasn't too spicy but overall very juicy chicken.,Positive,juicy
220,They know what they are doing!,Neutral,
221,It's all about the chicken nothing else.,Neutral,
222,I had the #11 salade florea a huge salad topped with plentiful and borderline obscene amounts of chorizo and chicken.,Positive,huge
223,"The chicken was so juicy, tender and unbelievably flavorful that it outshined everything else.",Positive,"juicy, tender, flavorful"
224,"We also got a petite (trying to be healthy here) #8 poutine with chicken and chorizo and the #12 combo veronique with chicken, chorizo, fries, and salad.",Neutral,
225,"The line was down the street when we arrived, but don't be discouraged!",Neutral,
226,It moves quickly.,Positive,moves quickly
227,The poutine is wonderful and such large portions!,Neutral,
228,We split one and still couldn't finish it!,Neutral,
229,"To avoid long lines, I got here at 10am.",Negative,"long line, long lines"
230,"Also, make sure you push the door to enter, don't be like me and pull  :)  I knew what I wanted, so I got #8, small with couple drinks, egg tart and blonde donut thing.",Neutral,
231,The poutine was decent.,Neutral,
232,"I liked the chicken, it was moist, seasoned well and I would been perfectly fine just ordering the chicken by itself.",Positive,"moist, perfectly"
233,"The whole plate as a whole, few things they could done better.",Neutral,
234,I wish they added more gravy...,Neutral,
235,"if they layered it, it would have helped.",Neutral,
236,"After the fries, add the gravy, then the cheese, chicken and sausage and another layer of the gravy.",Neutral,
237,"After you eat the top, once you get to the rest of the fries, there's no gravy leftover unfortunately.",Neutral,
238,"I don't know if you can ask for additional gravy on the side or if you need to pay for additional, but it would have helped to have more gravy.",Neutral,
239,"The interior was small, but plenty of seating to enjoy your food.",Neutral,
240,"Egg tart was decent, but it would been a lot better if served warm.",Neutral,
241,Ma Poule Mouillee is a place where dreams come true.,Neutral,
242,"After reading Maria's review back in 2020, I knew I had to visit this spot if I ever found myself in Montreal.",Neutral,
243,"Well, I am so glad I did!",Positive,glad
244,We visited for lunch and there was a line around the block.,Negative,line around the block
245,"Now with a ton of amazing spots in Montreal, you may be thinking is it worth waiting in line?",Positive,amazing
246,"Yes, yes it most certainly is.",Neutral,
247,Once you make your way inside they have a great assembly line going.,Positive,great
248,"You order, then make your way down to the register.",Neutral,
249,"By the time you make it to the register, your order is waiting for you.",Neutral,
250,"Here is the time to grab extra sauce, we did not and I was regretful.",Neutral,
251,"The Portuguese chicken was moist and delicious, their sauce is just so freaking good.",Positive,good
252,"We also ordered the petit poutine, and let me tell you nothing was petite about that thing.",Neutral,
253,My friend and I could barely make a dent in it.,Neutral,
254,But it was also so flavorful and delicious.,Positive,"flavorful, delicious"
255,We rounded things out with some orange Sumol (the best flavor) and a pastel de nata.,Positive,best
256,They have a variety of bar seating/tables around the restaurant.,Neutral,
257,Even with the long line we were able to find seats to eat without an issue.,Negative,long line
258,"If I'm ever back in Montreal, I will never not go here.",Neutral,
259,The best!,Positive,best
260,Wow!,Neutral,
261,A line that goes out the door and locals and tourists enjoy the food.,Neutral,
262,Huge portions.,Positive,Huge
263,Who knew rotisserie chicken could be so flavorful?,Positive,flavorful
264,"I had the chicken and chorizo poutine, and wow, I could not finish my small portion.",Neutral,
265,The gravy was delicious with bits and pieces of chicken and chorizo over crispy fries I love this place!,Positive,"delicious, crispy, love"
266,Absolutely one of the best Portuguese chicken places in the plateau borough.,Positive,best
267,"The chicken is super tender and juicy, and the piri piri sauce has to be some of the best I had.",Positive,"tender, juicy, best"
268,Very nice kick of heat with amazing flavors from the various spices.,Positive,"nice, amazing"
269,This place gets packed up very quickly if you are planing on eating inside the restaurant.,Neutral,
270,"However, parc La Fontaine is across the street, which offers lot of picnic table to sit down at.",Neutral,
271,10/10.,Neutral,
272,The best rotisserie chicken ever!,Positive,best
273,Wow.,Neutral,
274,This place gets super busy (rightfully so) and usually the line is out the door.,Neutral,
275,Very minimal seating so plan accordingly.,Neutral,
276,The Portuguese chicken here is mouthwatering.,Neutral,
277,"So flavorful, so fresh and very reasonably priced.",Positive,"flavorful, fresh"
278,Absolutely love this place.,Positive,love
279,Wow!,Neutral,
280,This place was popular!,Neutral,
281,I was visiting Montreal for the weekend and the first thing we did was go to Ma Poule Mouillée for some poutine!,Neutral,
282,We ordered the small poutine with chicken and chorizo.,Neutral,
283,I also ordered a half chicken platter and asked for rice instead of fries.,Neutral,
284,"For the drink, I saw that they had some Portuguese sodas!",Neutral,
285,"I got a passion fruit soda, it was good!",Positive,good
286,We hovered around waiting for somewhere to sit.,Neutral,
287,The poutine was delicious!,Positive,delicious
288,It was a hearty meal.,Neutral,
289,I had to try their poutine as it was highly rated from poutines lovers.,Neutral,
290,"They are just across the street from La banquise and near LaFontaine parc, so be aware there's always a line to enter, but ut worth it to have their good food..",Positive,good
291,Their chicken poutine is excellent and on my top5 poutine in Montréal.,Positive,excellent
292,Service is quick and efficient and once you're in you don't wait long.,Neutral,
293,Il fallait que j'essaie leur poutine car elle est très bien notée.,Neutral,
294,Ils sont placés juste en face de la banquise et près du parc LaFontaine donc préparé vous à attendre un peu car il y a toujours une ligne.,Neutral,
295,"Mais l'attente en vaux la peine car leur poutine est excellente, en fait c'est dans mon top5 des poutine à Montréal.",Neutral,
296,Le service est rapide et dès que vous êtes entré vous n'attendez pas longtemps.,Neutral,
297,"I first heard about this place on ""Somebody Feed Phil"" on Netflix.",Neutral,
298,On my train ride up other passengers were discussing it.,Neutral,
299,"Except for the line wrapped around the corner, this place lived up to the hype!",Neutral,
300,"I had the Louis Cyr (1/2 chicken, fries and salad) and it was soooo good.",Positive,good
301,"The poutine looked great but for a number of reasons, it didn't fit into my needs.",Positive,great
302,But everyone who ordered it was more than satisfied!,Positive,satisfied
303,The service is like a cafeteria line and I don't speak French but the staff is dedicated to working it out.,Neutral,
304,"The restaurant is kind of small but I had mine to go, so I didn't have to contend with finding a seat.",Neutral,
305,I definitely recommend that it gets added to your list of places to eat in Montreal.,Positive,recommend
306,Had to come and try the chicken poutine!,Neutral,
307,"Overall: 4/5 Food: Chicken poutine 4/5 - I thought it was pretty goods; I'm not a huge poutine person, but was recommended it from someone in Toronto.",Positive,recommended
308,"I wouldn't necessarily tell someone to go out of their way to try this, but it was good!",Positive,good
309,"Mind you, I would have probably loved a chicken sandwich more, but tried this instead.",Positive,loved
310,"Ambiance: 2/5 - it was so busy for takeout and the tables are in the same area, so wasn't the most comfortable seating arrangement.",Negative,
311,"Service: 5/5 - they're very efficient, fast, and friendly.",Positive,friendly
312,Had a great system going on!,Positive,great
313,"That is the beauty of travel, you come up with something that you will always remember.",Neutral,
314,"This is not super fancy, or fine dining, in fact, this is your daily around-the-corner restaurant, but trust me, this is the best rotisserie chicken with potatoes I ever had.",Positive,best
315,and I mean it.,Neutral,
316,Especially Potatoes - what is this?,Neutral,
317,"super soft, not dry, juicy - how do they cook it?",Neutral,
318,I know a thing or two about cooking and I know my boiled potatoes can never be this soft.,Neutral,
319,"and though this is super popular across social media, - it deserves all those hypes.",Neutral,
320,"Luckily, I reached by 12 so I did not have to be in the 40 mins, 1 hr long line.",Negative,long line
321,I did not try their poutine (to be honest- I did not like the idea of it) I ordered-     1/2 Chicken served with fries & Salad.,Neutral,
322,"and being how greedy I am with food; I was about to order 2nd item - but as usual ""an unknown hero (aka my wife)"" came to save me and said- ""let's finish this first then we will order again"".",Neutral,
323,"and glad, she saved me because that one order- we both were not able to finish that- it was too much for us.",Positive,glad
324,"not sure half chicken is how many pieces, but it was like 2 legs, and one breast with wings - with like 10-15 pieces of ""amazing soft juicy [and I know I never going to have them in the future, no matter what unless I visit Portugal or visit Montreal again] potatoes"", with salad at the side.",Positive,"amazing, juicy"
325,"man, if I visit Montreal again, trust me I will visit for this only.",Neutral,
326,"Quantity: too much, one item can be enough for 2 people unless you are Dwayne Johnson Ambience: In two words, very cool.",Neutral,
327,I like how the establishment has managed to have a decent amount of seating while keeping the disturbance of the line flow to a minimum...,Neutral,
328,first you order at the entrance and then you pay.,Neutral,
329,There are a couple of two 6-seater tables and 6 long stools facing roads.,Neutral,
330,that it Price: it was our cheapest and best meal of the Montreal trip- that says enough about this.,Positive,best
331,Ma Poule Mouillée is a counter service restaurant - great food for a reasonable price.,Positive,"great, reasonable"
332,"The place is popular, drawing a varied clientele.",Neutral,
333,"I was never overly interested in poutine (sorry, I can hear the gasps!",Neutral,
334,"lol), but when in Canada, right?",Neutral,
335,OMG- their chicken & poutine was top notch.,Neutral,
336,"There was a small line around 8:00pm on a weekday, but nothing that was bad.",Negative,bad
337,"The chicken was absolutely, hands down, AMAZING.",Positive,AMAZING
338,The pastel de nata was the best follow up dessert.,Positive,best
339,"I'm not going to lie, I also ate the leftovers for breakfast, too :) Seating is not really great for young kids (mostly high tops with just a few tables), but we just ran it back to our hotel!",Negative,
340,Would highly recommend!,Positive,highly recommend
341,Nice neighborhood gem!,Positive,Nice
342,This place was recommended by a friend and it did not disappoint.,Positive,"recommended, did not disappoint"
343,Definitely a local spot because I wasn't sure what to order and the staff expected that I should.,Neutral,
344,They were extremely helpful though.,Neutral,
345,I ordered the spicy chicken poutine.,Neutral,
346,It was served hot!,Neutral,
347,It was delicious but way too much food for me to finish in one sitting.,Positive,delicious
348,"If you're in the area, do yourself a favor and check this spot out!",Neutral,
349,We both love poutine.,Positive,love
350,We decided to give this place a try.,Neutral,
351,The poutine here were the best non classic poutine we've ever had.,Positive,best
352,"If you love poutine, this place is a must try.",Positive,love
353,It's amazing!,Positive,amazing
354,Generous portion!,Positive,Generous
355,The line can be quire long but it moves pretty quickly.,Neutral,
356,Highly recommended.,Positive,"Highly recommend, recommended"
357,We'll definitely go back!,Neutral,
358,I'll give a low rating because of the experience.,Neutral,
359,Super busy with a line out the door and hectic inside.,Negative,"Super busy, line out the door, hectic"
360,I don't understand the menu so I talk with the person taking orders (not the cashier) and ask for the most popular item or what she recommends.,Neutral,
361,We go over options and I'm choosing something with options large and spicy.,Neutral,
362,Almost certain a to-go person took my order but the cashiers have no idea and just gave it away.,Neutral,
363,Time passes and everyone behind me is getting their food so I ask if I need to order again.,Neutral,
364,A cashier talks to the woman I put my order with and tells me they're making it now.,Neutral,
365,"An order pops up that no one claims, so I ask is that mine -- and I guess it is.",Neutral,
366,"If someone in the back ordered the same thing and took it, I'd still be in line.",Neutral,
367,"Food-wise, I'd give it a 2-3 star.",Neutral,
368,Very bland and not spicy.,Negative,bland
369,Would stay away from #8 and not get large,Neutral,
370,"Great poutine, can be easily shared between 2-3 people with ease.",Positive,Great
371,"Do not expect to get any seating here, as it is busy and the line never stops -- takeout is recommended",Negative,
372,By far THE BEST poutine I've ever had.,Positive,BEST
373,Everything was delish!,Neutral,
374,I got the poutine with the chicken and chouriço and my sons got a half chicken and the other poutine with just chouriço.,Neutral,
375,Amazing!!,Positive,Amazing
376,A must try.,Neutral,
377,The line goes quick and the staff is friendly.,Positive,friendly
378,The place is small so it's a little crowded so probably best if you take it home to eat unless u get lucky and find a table.,Negative,a little crowded
379,Can't wait to come back,Neutral,
380,We got the half chicken to go and we were able to replace the fries with only salad.,Neutral,
381,Service was friendly and fast.,Positive,friendly
382,Orders were placed at the front and then picked up and paid for at the back.,Neutral,
383,"Back at our hotel, we dug into our meal and the chicken was very moist and well seasoned.",Positive,moist
384,We got the spicy sauce but it wasn't uniformly applied on our chicken so there would be bursts of heat in some mouthfuls but not others.,Neutral,
385,It was possible that the spicy sauce was reduced by the salad dressing.,Neutral,
386,However that did not distract from our enjoyment of this chicken.,Neutral,
387,It was one of the best we've eaten in a long time.,Positive,best
388,Overall a definite repeat should we come back to Montreal.,Neutral,
389,Ordered the Floreana Salad and didn't love it because the chicken was too fatty...,Negative,
390,the chorizo was good and the portion was huge though.,Positive,good
391,Also loved the sauce.,Positive,loved
392,But I prefer shish taouk type chicken.,Neutral,
393,Chicken was amazing.,Positive,amazing
394,Seasoned beautifully and the charcoal flavor is wonderful.,Neutral,
395,We arrived around 7:45pm on a Sunday evening and waited about 30 min.,Neutral,
396,The ordering/paying/pickup process is pretty hectic once you get inside.,Negative,hectic
397,They fill orders from the line as the food is ready so you're not always called up numerically by the number they give you when you place your order.,Neutral,
398,"I'd seen on prior reviews that they had rice instead of fries, but that was not the case (only fries listed on the menu and I asked about rice - not available).",Neutral,
399,We also asked for the spicy sauce but they forgot to include so I was disappointed to not have a chance to try it.,Negative,disappointed
400,We ate in the store but the checkout line was so hectic I didn't feel Iike trying to go back to ask for sauce (and have them attempt to charge me again).,Negative,hectic
401,I made only a small dent in the gigantic box of fries that came with my chicken.,Neutral,
402,The person in front of me bought 10 pastel de nata and sold out the shop so I was also disappointed to not have a chance to try.,Negative,disappointed
403,I got the half chicken with fries and salad and my husband got the chicken on dinner salad (pretty large).,Neutral,
404,Both are fairly large portions for the price.,Neutral,
